Front (English),Back (Hebrew),Transliteration,Other forms,Mnemonic,Example (Hebrew),Example (translit),Example (English),Category,Day
Living room,סָלוֹן,Salon,pl. Salonim סָלוֹנִים,"sa-LON — straight from the French ""salon"". A freebie.",הַמִּשְׁפָּחָה צוֹפָה בַּטֶּלֶוִיזְיָה בַּסָּלוֹן.,Ha-mishpacha tzofa be-televizia ba-salon.,The family watches TV in the living room.,Nouns · Home,66
Dining room,חֶדֶר אוֹכֶל,Chadar ochel,pl. Chadrei ochel חַדְרֵי אוֹכֶל,"""Room of food"" — ochel is both ""eats"" and ""food"". On a kibbutz the chadar ochel is the communal dining hall.",אֲנַחְנוּ אוֹכְלִים בַּחֲדַר הָאֹכֶל בְּשַׁבָּת.,Anachnu ochlim be-chadar ha-ochel be-shabbat.,We eat in the dining room on Shabbat.,Nouns · Home,66
Kitchen,מִטְבָּח,Mitbach,pl. Mitbachim מִטְבָּחִים,mit-BACH — from tabach (cook). The ma-/mi- prefix marks a PLACE where something happens: mitbach = place of cooking.,הַמִּטְבָּח קָטָן אֲבָל נוֹחַ.,Ha-mitbach katan aval nochi.,The kitchen is small but comfortable.,Nouns · Home,66
Furniture,רָהִיט,Rahit,pl. Rahitim רְהִיטִים,ra-HEET — a piece of furniture you'd HEAT your feet by. Usually plural: rahitim.,קָנִינוּ רְהִיטִים חֲדָשִׁים לַסָּלוֹן.,Kaninu rahitim chadashim la-salon.,We bought new furniture for the living room.,Nouns · Home,66
To open,פּוֹתֵחַ / פּוֹתַחַת,Poteach / Potachat,inf. Lif-toach לִפְתּוֹחַ,po-TE-ach — a mafteach (key) opens it. Same root: p-t-ch.,הַחֲנוּת פּוֹתַחַת בְּתֵשַׁע.,Ha-chanut potachat be-tesha.,The store opens at nine.,Verbs · Hands,67
To close,סוֹגֵר / סוֹגֶרֶת,Soger / Sogeret,inf. Lis-gor לִסְגּוֹר,"so-GOR — ""So, GO — we're closing."" Sagur = closed, on every shop sign.",בְּבַקָּשָׁה לִסְגּוֹר אֶת הַדֶּלֶת.,Bevakasha lisgor et ha-delet.,Please close the door.,Verbs · Hands,67
To cut,חוֹתֵךְ / חוֹתֶכֶת,Chotech / Chotechet,inf. Lach-toch לַחְתּוֹךְ,cho-TECH — you CHOP with a TECHnique. Chaticha = a piece (something cut off).,אֲנִי חוֹתֵךְ אֶת הָעַגְבָנִיָּה לַסָּלָט.,Ani chotech et ha-agvania la-salat.,I'm cutting the tomato for the salad.,Verbs · Hands,67
To break,שׁוֹבֵר / שׁוֹבֶרֶת,Shover / Shoveret,inf. Lish-bor לִשְׁבּוֹר,SHO-ver — a SHOVE breaks it. Shavur = broken.,הַיֶּלֶד שׁוֹבֵר אֶת הַכּוֹס.,Ha-yeled shover et ha-kos.,The boy breaks the glass.,Verbs · Hands,67
To fix / to repair,מְתַקֵּן / מְתַקֶּנֶת,Metaken / Metakenet,inf. Le-taken לְתַקֵּן,"me-ta-KEN — ""Me? TAKE 'N fix it."" Tikkun olam = repairing the world.",הוּא מְתַקֵּן אֶת הַמְּקָרֵר.,Hu metaken et ha-mekarer.,He's fixing the refrigerator.,Verbs · Hands,67
Door,דֶּלֶת,Delet,pl. Dlatot דְּלָתוֹת,"DEH-let — the door LETS you in: de-LET. Also the Hebrew letter ד, dalet.","הַדֶּלֶת סְגוּרָה, תִּדְפֹּק בְּבַקָּשָׁה.","Ha-delet sgura, tidfok bevakasha.","The door is closed, please knock.",Nouns · Home,68
Window,חַלּוֹן,Chalon,pl. Chalonot חַלּוֹנוֹת,cha-LON — you stare out the window for a LONG time.,"תִּפְתַּח אֶת הַחַלּוֹן, חַם פֹּה.","Tiftach et ha-chalon, cham po.","Open the window, it's hot here.",Nouns · Home,68
Closet / cupboard,אָרוֹן,Aron,pl. Aronot אֲרוֹנוֹת,"a-RON — the Ark of the Covenant is the Aron ha-Brit, and the Torah cabinet in a synagogue is the aron kodesh. It's a big box.",הַבְּגָדִים בָּאָרוֹן שֶׁלִּי.,Ha-begadim ba-aron sheli.,The clothes are in my closet.,Nouns · Home,68
Curtain,וִילוֹן,Vilon,pl. Vilonot וִילוֹנוֹת,"vee-LON — a VEIL that's LONG. Borrowed from the same European root as ""voile"".",הַוִּילוֹנוֹת חֲדָשִׁים וְצִבְעוֹנִיִּים.,Ha-vilonot chadashim ve-tzivoniim.,The curtains are new and colorful.,Nouns · Home,68
Bed,מִטָּה,Mita,pl. Mitot מִטּוֹת,mee-TA — a bed is roughly a METER wide. (Don't confuse with mata = downward.),הֶחָתוּל יָשֵׁן עַל הַמִּטָּה שֶׁלִּי.,Ha-chatul yashen al ha-mita sheli.,The cat sleeps on my bed.,Nouns · Home,68
Refrigerator,מְקָרֵר,Mekarer,pl. Mekarerim מְקָרְרִים,"me-ka-RER — from kar (cold). The mekarer is ""the cold-maker"".",יֵשׁ חָלָב בַּמְּקָרֵר?,Yesh chalav ba-mekarer?,Is there milk in the fridge?,Nouns · Home,68
Easy / light,קַל / קַלָּה,Kal / Kala,pl. Kalim / Kalot קַלִּים / קַלּוֹת,"KAL — kal means both ""easy"" and ""lightweight"". The simplest Hebrew verb pattern is even called Pa'al/Kal, ""the light one"".",הַבְּחִינָה הָיְתָה קַלָּה.,Ha-bechina haita kala.,The exam was easy.,Adjectives · Qualities,71
Difficult / hard,קָשֶׁה / קָשָׁה,Kasheh / Kasha,pl. Kashim / Kashot קָשִׁים / קָשׁוֹת,"ka-SHEH — also means ""hard"" as in physically tough. ""Kashe li"" = ""it's hard for me"".",קָשֶׁה לִי לָקוּם בַּבֹּקֶר.,Kasheh li lakum ba-boker.,It's hard for me to get up in the morning.,Adjectives · Qualities,71
Simple,פָּשׁוּט / פְּשׁוּטָה,Pashut / Pshuta,pl. Pshutim / Pshutot פְּשׁוּטִים / פְּשׁוּטוֹת,"pa-SHOOT — ""pashut"" also works as an adverb meaning ""simply / just"": Ani pashut lo yodea.",זֶה מַתְכּוֹן פָּשׁוּט וְטָעִים.,Ze matkon pashut ve-tza'im.,It's a simple and tasty recipe.,Adjectives · Qualities,71
Important,חָשׁוּב / חֲשׁוּבָה,Chashuv / Chashuva,pl. Chashuvim / Chashuvot חֲשׁוּבִים / חֲשׁוּבוֹת,cha-SHOOV — from lachshov (to think): important things are the ones worth thinking about.,זֶה מְאוֹד חָשׁוּב לִי.,Ze me'od chashuv li.,This is very important to me.,Adjectives · Qualities,71
Boring,מְשַׁעֲמֵם / מְשַׁעֲמֶמֶת,Meshamem / Meshamemet,pl. Meshamemim / Meshamemot מְשַׁעֲמְמִים / מְשַׁעֲמְמוֹת,"me-sha-a-MEM — the word drags on, mem after mem, exactly like the feeling. ""Meshamem li"" = ""I'm bored"".",הַסֶּרֶט הָיָה מְשַׁעֲמֵם מְאוֹד.,Ha-seret haya meshamem me'od.,The movie was very boring.,Adjectives · Qualities,71
Key,מַפְתֵּחַ,Mafteach,pl. Maftechot מַפְתְּחוֹת,"maf-TE-ach — from lifto'ach (to open). The ma- prefix marks a TOOL: a key is ""the opening-tool"".",אִבַּדְתִּי אֶת הַמַּפְתֵּחַ שֶׁל הַבַּיִת.,Ibadeti et ha-mafteach shel ha-bayit.,I lost the house key.,Nouns · Household,72
Soap,סַבּוֹן,Sabon,pl. Sabonim סַבּוֹנִים,"sa-BON — practically the English ""soap"" with a Spanish accent (jabón). Free word.",נִגְמַר הַסַּבּוֹן בַּמִּקְלַחַת.,Nigmar ha-sabon ba-miklachat.,The soap ran out in the shower.,Nouns · Household,72
Towel,מַגֶּבֶת,Magevet,pl. Magavot מַגָּבוֹת,"ma-GEH-vet — from lenagev, ""to wipe dry"". Again the ma- tool-prefix: the drying-tool.","תָּבִיא לִי מַגֶּבֶת נְקִיָּה, בְּבַקָּשָׁה.","Tavi li magevet nekiya, bevakasha.","Bring me a clean towel, please.",Nouns · Household,72
Toilet paper,נְיָר טוֹאָלֵט,Niyar toalet,,"niyar = paper (think ""NEAR"" — always keep it near). Then the borrowed ""toalet"".",צָרִיךְ לִקְנוֹת נְיָר טוֹאָלֵט.,Tzarich liknot niyar toalet.,We need to buy toilet paper.,Nouns · Household,72
Trash / garbage,זֶבֶל,Zevel,,"ZEH-vel — originally ""manure"". Israelis use it for garbage and, in slang, for anything terrible: ""Ha-seret haya zevel.""","תִּזְרֹק אֶת הַזֶּבֶל, בְּבַקָּשָׁה.","Tizrok et ha-zevel, bevakasha.","Throw out the trash, please.",Nouns · Household,72
To throw,זוֹרֵק / זוֹרֶקֶת,Zorek / Zoreket,inf. Liz-rok לִזְרוֹק,ZO-rek — you throw the trash into the WRECK. Lizrok la-zevel = throw in the garbage.,"אַל תִּזְרְקִי אֶת זֶה, זֶה חָשׁוּב!","Al tizroki et ze, ze chashuv!","Don't throw that away, it's important!",Verbs · Hands,73
To catch,תּוֹפֵס / תּוֹפֶסֶת,Tofes / Tofeset,inf. Lit-pos לִתְפּוֹס,"TO-fes — you catch it and it's TOO FAST. Also means ""to grab a seat/spot"".",הַכֶּלֶב תּוֹפֵס אֶת הַכַּדּוּר.,Ha-kelev tofes et ha-kadur.,The dog catches the ball.,Verbs · Hands,73
To touch,נוֹגֵעַ / נוֹגַעַת,Nogea / Nogaat,inf. La-gaat לָגַעַת,"no-GEH-a — ""NO! Get your hands off!"" Al tiga! = ""Don't touch!""",אָסוּר לָגַעַת בַּצִּיּוּרִים בַּמּוּזֵאוֹן.,Asur lagaat ba-tziurim ba-muzeon.,You mustn't touch the paintings in the museum.,Verbs · Hands,73
To arrange / to tidy,מְסַדֵּר / מְסַדֶּרֶת,Mesader / Mesaderet,inf. Le-sader לְסַדֵּר,"me-sa-DER — you put things in SEDER (order). The Passover Seder is literally ""the order"".",אֲנִי מְסַדֶּרֶת אֶת הַחֶדֶר שֶׁלִּי.,Ani mesaderet et ha-cheder sheli.,I'm tidying my room.,Verbs · Hands,73
To divide / to hand out,מְחַלֵּק / מְחַלֶּקֶת,Mechalek / Mechaleket,inf. Le-chalek לְחַלֵּק,me-cha-LEK — you divide it into CHALK-marked parts. Chelek = a part.,הַמּוֹרָה מְחַלֶּקֶת אֶת הַחוֹבֶרֶת לַכִּתָּה.,Ha-mora mechaleket et ha-choveret la-kita.,The teacher hands out the booklet to the class.,Verbs · Hands,73
Pot,סִיר,Sir,pl. Sirim סִירִים,"SEER — you STIR the SIR. (Careful: sir = pot, shir = song.)",הַסִּיר עַל הָאֵשׁ כְּבָר חֲצִי שָׁעָה.,Ha-sir al ha-esh kvar chatzi sha'a.,The pot has been on the fire for half an hour.,Nouns · Household,74
Bowl,קְעָרָה,Ke'ara,pl. Ke'arot קְעָרוֹת,"ke-a-RA — a bowl is CURVED — ""ke-CURVE-ah"".",שִׂים אֶת הַסָּלָט בַּקְּעָרָה הַגְּדוֹלָה.,Sim et ha-salat ba-ke'ara ha-gdola.,Put the salad in the big bowl.,Nouns · Household,74
Cup / glass,כּוֹס,Kos,pl. Kosot כּוֹסוֹת,"KOS — at a wedding the groom breaks a kos. Sounds like ""cause"" — a cause for celebration.",אֲנִי רוֹצָה כּוֹס מַיִם קָרִים.,Ani rotza kos mayim krerim.,I want a glass of cold water.,Nouns · Household,74
Napkin,מַפִּית,Mapit,pl. Mapiyot מַפִּיּוֹת,"ma-PEET — from mapa (tablecloth) + the diminutive -it. A napkin is a ""little tablecloth"".",תָּבִיא מַפִּיּוֹת לַשֻּׁלְחָן.,Tavi mapiyot la-shulchan.,Bring napkins to the table.,Nouns · Household,74
Silverware / cutlery,סַכּוּ״ם,Sakum,,sa-KOOM — an acronym! Sakin (knife) + Kaf (spoon) + Mazleg (fork). The quotation marks tell you it's built from initials.,"הַסַּכּוּ""ם בַּמְּגֵרָה הָרִאשׁוֹנָה.",Ha-sakum ba-magera ha-rishona.,The silverware is in the first drawer.,Nouns · Household,74
Spoon (large),כַּף,Kaf,pl. Kapot כַּפּוֹת,"KAF — the same word as the palm of your hand: both are little scoops. In recipes, kaf = tablespoon.",הוֹסֵף כַּף שֶׁמֶן לַסִּיר.,Hosif kaf shemen la-sir.,Add a tablespoon of oil to the pot.,Nouns · Household,74
Spoon (small) / teaspoon,כַּפִּית,Kapit,pl. Kapiot כַּפִּיּוֹת,"ka-PEET — kaf + the -it diminutive again, exactly like mapa → mapit. Hebrew shrinks things with -it.","כַּפִּית סֻכָּר בַּקָּפֶה, בְּבַקָּשָׁה.","Kapit sukar ba-kafe, bevakasha.","A teaspoon of sugar in the coffee, please.",Nouns · Household,74
Vegetable,יֶרֶק,Yerek,pl. Yerakot יְרָקוֹת,"YEH-rek — from yarok, ""green"". Vegetables are ""the green things"".",אֲנִי אוֹכֶלֶת הַרְבֵּה יְרָקוֹת.,Ani ochelet harbeh yerakot.,I eat a lot of vegetables.,Nouns · Food,75
Tomato,עַגְבָנִיָּה,Agvania,pl. Agvaniyot עַגְבָנִיּוֹת,"ag-va-nee-YA — from agavim, ""love/passion"" — the tomato was once called the ""love apple"", exactly like the French pomme d'amour.",הַסָּלָט מֵעַגְבָנִיּוֹת וּמְלָפְפוֹנִים.,Ha-salat me-agvaniyot ve-melafefonim.,The salad is made of tomatoes and cucumbers.,Nouns · Food,75
Onion,בָּצָל,Batzal,pl. Betzalim בְּצָלִים,ba-TSAL — cutting one makes you BAWL. Batzal ha-yarok = a green onion.,אֲנִי חוֹתֵךְ בָּצָל לַמָּרָק.,Ani chotech batzal la-marak.,I'm cutting an onion for the soup.,Nouns · Food,75
Carrot,גֶּזֶר,Gezer,pl. Gzarim גְּזָרִים,"GEH-zer — from ligzor, ""to cut"": a carrot is ""the cut-up thing"". Also, gezer sounds like ""geezer"" — a carrot with a nose.",הַשָּׁפָן אוֹהֵב גֶּזֶר.,Ha-shafan ohev gezer.,The rabbit likes carrots.,Nouns · Food,75
Potato,תַּפּוּחַ אֲדָמָה,Tapuach adama,pl. Tapuchei adama תַּפּוּחֵי אֲדָמָה,"Literally ""apple of the earth"" — exactly like the French pomme de terre. Adama = earth/soil.",אֲנִי אוֹפָה תַּפּוּחֵי אֲדָמָה בַּתַּנּוּר.,Ani ofa tapuchei adama ba-tanur.,I'm baking potatoes in the oven.,Nouns · Food,75
To like / to love,אוֹהֵב / אוֹהֶבֶת,Ohev / Ohevet,inf. Le-ehov לֶאֱהוֹב,"oh-HEV — ""Oh! HEAVEN."" Ahava = love. Ani ohev otach = ""I love you"" (to a woman).",אֲנִי אוֹהֵב אֶת הַשִּׁיר הַזֶּה מְאוֹד.,Ani ohev et ha-shir ha-ze me'od.,I love this song very much.,Verbs · Feelings,78
To hate,שׂוֹנֵא / שׂוֹנֵאת,Sone / Sonet,inf. Lis-no לִשְׂנוֹא,"so-NEH — ""So, NAY!"" A hard no. Sin'a = hatred.",הִיא שׂוֹנֵאת לָקוּם מֻקְדָּם.,Hi sonet lakum mukdam.,She hates getting up early.,Verbs · Feelings,78
To laugh,צוֹחֵק / צוֹחֶקֶת,Tzochek / Tzocheket,inf. Litz-chok לִצְחוֹק,TSO-chek — Isaac (Yitzchak) was named for laughter: Sarah laughed when she heard she'd have him. Same root.,כֻּלָּם צוֹחֲקִים מֵהַבְּדִיחָה שֶׁלּוֹ.,Kulam tzochakim me-ha-bdicha shelo.,Everyone laughs at his joke.,Verbs · Feelings,78
To cry,בּוֹכֶה / בּוֹכָה,Boche / Bocha,inf. Liv-kot לִבְכּוֹת,"BO-cheh — the sound of a sob, ""boh-heh, boh-heh"". The Western Wall is the Kotel, where people come to cry.",הַתִּינוֹק בּוֹכֶה כִּי הוּא רָעֵב.,Ha-tinok boche ki hu ra'ev.,The baby is crying because he's hungry.,Verbs · Feelings,78
To enjoy,נֶהֱנֶה / נֶהֱנֵית,Nehene / Nehenet,inf. Le-henot לֵיהָנוֹת,"neh-heh-NEH — enjoyment is HONEY (hana'a ≈ ""honey-ah""). Neheneti! = ""I enjoyed it!""",אֲנַחְנוּ נֶהֱנִים מֵהַמְּסִבָּה.,Anachnu nehenim me-ha-mesiba.,We're enjoying the party.,Verbs · Feelings,78
Beautiful / pretty,יָפֶה / יָפָה,Yafe / Yafa,pl. Yafim / Yafot יָפִים / יָפוֹת,"ya-FEH — Yaffa, the ancient port city, means ""beautiful"". ""Yafe me'od!"" = ""Very nice!""",אֵיזֶה יוֹם יָפֶה הַיּוֹם!,Eize yom yafe ha-yom!,What a beautiful day today!,Adjectives · Judgement,79
Excellent (pt. 1),מְצֻיָּן / מְצֻיֶּנֶת,Metzuyan / Metzuyenet,pl. Metzuyanim / Metzuyanot מְצֻיָּנִים / מְצֻיָּנוֹת,"me-tsu-YAN — literally ""marked out / distinguished"", from letzayen, to mark. This is the everyday ""Great!""",מְצֻיָּן! נִפָּגֵשׁ מָחָר.,Metzuyan! Nifgash machar.,Excellent! We'll meet tomorrow.,Adjectives · Judgement,79
Excellent (pt. 2) / superb,מְעוּלֶה / מְעוּלָה,Me'uleh / Me'ula,pl. Me'ulim / Me'ulot מְעוּלִים / מְעוּלוֹת,"me-u-LEH — from la'alot (to go up): something ""elevated"". Slightly fancier than metzuyan — you'd use it for food or wine.",הָאֹכֶל בַּמִּסְעָדָה מְעוּלֶה.,Ha-ochel ba-mis'ada me'ule.,The food at the restaurant is superb.,Adjectives · Judgement,79
Complete / perfect,מֻשְׁלָם / מֻשְׁלֶמֶת,Mushlam / Mushlemet,pl. Mushlamim / Mushlamot מֻשְׁלָמִים / מֻשְׁלָמוֹת,"mush-LAM — from shalem (whole/complete), root of shalom. Perfect = fully whole.",זֶה לֹא צָרִיךְ לִהְיוֹת מֻשְׁלָם.,Ze lo tzarich lihiot mushlam.,It doesn't have to be perfect.,Adjectives · Judgement,79
Different,שׁוֹנֶה / שׁוֹנָה,Shoneh / Shona,pl. Shonim / Shonot שׁוֹנִים / שׁוֹנוֹת,"SHO-neh — from leshanot, to change. Something different has been changed.",הַטַּעַם שׁוֹנֶה לְגַמְרֵי.,Ha-ta'am shoneh legamrei.,The taste is completely different.,Adjectives · Judgement,79
Cauliflower / cabbage,כְּרוּב,Kruv,pl. Kruvim כְּרוּבִים,"KROOV — same spelling as keruv, an angel (cherub). A cauliflower does look a bit like a cloud of little cherubs.",אֲנַחְנוּ אוֹפִים כְּרוּב עִם שֶׁמֶן זַיִת.,Anachnu ofim kruv im shemen zayit.,We're roasting cauliflower with olive oil.,Nouns · Food,80
Mushroom,פִּטְרִיָּה,Pitria,pl. Pitriyot פִּטְרִיּוֹת,"pit-ree-YA — sounds like ""pizzeria"" — and mushrooms go on pizza.",הַפִּטְרִיּוֹת בָּרוֹטֶב טְעִימוֹת.,Ha-pitriyot ba-rotev tze'imot.,The mushrooms in the sauce are tasty.,Nouns · Food,80
Olive,זַיִת,Zayit,pl. Zeytim זֵיתִים,ZA-yit — the Mount of Olives is Har ha-Zeitim. Shemen zayit = olive oil.,יֵשׁ זֵיתִים שְׁחוֹרִים בַּסָּלָט.,Yesh zeytim shchorim ba-salat.,There are black olives in the salad.,Nouns · Food,80
Salt,מֶלַח,Melach,,"MEH-lach — the Dead Sea is Yam ha-Melach, ""the Sea of Salt"". Cousin of the English ""mineral"" family via Semitic m-l-ch.",חָסֵר מֶלַח בַּמָּרָק.,Chaser melach ba-marak.,The soup needs salt.,Nouns · Food,80
Oil,שֶׁמֶן,Shemen,pl. Shmanim שְׁמָנִים,"SHEH-men — same root as shamen, ""fat"". Shemen zayit = olive oil, the Hanukkah miracle oil.",אֲנִי מְבַשֶּׁלֶת עִם שֶׁמֶן זַיִת.,Ani mevashelet im shemen zayit.,I cook with olive oil.,Nouns · Food,80
Grape,עֲנָב,Anav,pl. Anavim עֲנָבִים,a-NAV — grapes hang and NAB your eye. Usually plural: anavim.,הָעֲנָבִים הָאֵלֶּה מְתוּקִים מְאוֹד.,Ha-anavim ha-eleh metukim me'od.,These grapes are very sweet.,Nouns · Food,81
Grapefruit,אֶשְׁכּוֹלִית,Eshkolit,pl. Eshkoliot אֶשְׁכּוֹלִיּוֹת,"esh-ko-LEET — from eshkol, ""a cluster"" (grapefruits grow in clusters). Eshkol is also a famous Israeli surname.",אֲנִי שׁוֹתָה מִיץ אֶשְׁכּוֹלִיּוֹת בַּבֹּקֶר.,Ani shotah mitz eshkoliot ba-boker.,I drink grapefruit juice in the morning.,Nouns · Food,81
Peach,אֲפַרְסֵק,Afarsek,pl. Afarsekim אֲפַרְסְקִים,"a-far-SEK — from ""Persia"" (Persicum), just like the English ""peach"". Same fruit, same journey.",הָאֲפַרְסֵק הַזֶּה רָטוֹב וּמָתוֹק.,Ha-afarsek ha-ze ratuv ve-matok.,This peach is juicy and sweet.,Nouns · Food,81
Pear,אֲגָס,Agas,pl. Agasim אֲגָסִים,a-GAS — a pear shaped like a little GAS balloon.,קָנִיתִי אֲגָסִים בַּשּׁוּק.,Kaniti agasim ba-shuk.,I bought pears at the market.,Nouns · Food,81
Cherry,דּוּבְדְּבָן,Duvdevan,pl. Duvdevanim דּוּבְדְּבָנִים,"duv-de-VAN — ""the cherry on top"" in Hebrew is ha-duvdevan she-ba-katzefet, ""the cherry on the whipped cream"". Say it three times; it's addictive.",הַדֻּבְדְּבָן עַל הָעוּגָה.,Ha-duvdevan al ha-uga.,The cherry is on the cake.,Nouns · Food,81
Blueberry,אֻכְמָנִיָּה,Uchmaniya,pl. Uchmaniyot אֻכְמָנִיּוֹת,"uch-ma-nee-YA — from a root meaning ""dark/black"". Blueberries are the dark berries.",אֲנִי אוֹפָה עוּגָה עִם אֻכְמָנִיּוֹת.,Ani ofa uga im uchmaniyot.,I'm baking a cake with blueberries.,Nouns · Food,82
Nut,אֱגוֹז,Egoz,pl. Egozim אֱגוֹזִים,"eh-GOZ — the nut that GOES crack. Egoz melech = a walnut, literally ""king nut"".",יֵשׁ אֱגוֹזִים בַּסָּלָט.,Yesh egozim ba-salat.,There are nuts in the salad.,Nouns · Food,82
Peanut,בֹּטֶן,Boten,pl. Botnim בֹּטְנִים,"BO-ten — Israel's beloved snack Bamba is made of botnim. Say ""BOTTOM nut"".",יֵשׁ לִי אָלֶרְגְּיָה לְבֹטְנִים.,Yesh li alergia le-botnim.,I have an allergy to peanuts.,Nouns · Food,82
Honey,דְּבַשׁ,Dvash,,"DVASH — ""a land flowing with milk and honey"" = eretz zavat chalav u-dvash. Sounds like a bee's buzz landing: ""dvash!""",אוֹכְלִים תַּפּוּחַ בִּדְבַשׁ בְּרֹאשׁ הַשָּׁנָה.,Ochlim tapuach be-dvash be-Rosh Hashana.,We eat apple with honey on Rosh Hashanah.,Nouns · Food,82
Jam / jelly,רִבָּה,Riba,pl. Ribot רִבּוֹת,REE-ba — a RIBBON of jam across your toast.,אֲנִי מוֹרַחַת רִבָּה עַל הַלֶּחֶם.,Ani mericha riba al ha-lechem.,I spread jam on the bread.,Nouns · Food,82
To feel,מַרְגִּישׁ / מַרְגִּישָׁה,Margish / Margisha,inf. Le-hargish לְהַרְגִּישׁ,"mar-GEESH — a feeling is a RUSH, spelled backwards-ish. Regesh = an emotion.",אֲנִי מַרְגִּישָׁה יוֹתֵר טוֹב הַיּוֹם.,Ani margisha yoter tov ha-yom.,I feel better today.,Verbs · Feelings,85
To cuddle / to pamper,מְפַנֵּק / מְפַנֶּקֶת,Mefanek / Mefaneket,inf. Le-fanek לְפַנֵּק,me-fa-NEK — you PAMPER by nuzzling someone's NECK. Mefunak = spoiled (in a cute way).,סָבְתָא מְפַנֶּקֶת אֶת הַנְּכָדִים.,Savta mefaneket et ha-nechadim.,Grandma spoils the grandchildren.,Verbs · Feelings,85
To forgive,סוֹלֵחַ / סוֹלַחַת,Soleach / Solachat,inf. Lis-loach לִסְלוֹחַ,"so-LE-ach — Slicha! (""sorry / excuse me"") is the word you'll say twenty times a day. Same root: s-l-ch.","אֲנִי סוֹלַחַת לְךָ, זֶה בְּסֵדֶר.","Ani solachat lecha, ze beseder.","I forgive you, it's fine.",Verbs · Feelings,85
To wish (someone something),מְאַחֵל / מְאַחֶלֶת,Meachel / Meachelet,inf. Le-achel לְאַחֵל,"me-a-CHEL — ""May I A-KHEL you well."" Note: this is wishing someone something, not wanting (that's rotze).",אֲנִי מְאַחֶלֶת לָךְ הַצְלָחָה!,Ani meachelet lach hatzlacha!,I wish you success!,Verbs · Feelings,85
To agree,מַסְכִּים / מַסְכִּימָה,Maskim / Maskima,inf. Le-haskim לְהַסְכִּים,mas-KEEM — agreeing to the SCHEME. Haskama = agreement/consent.,אֲנִי מַסְכִּים אִתְּךָ לְגַמְרֵי.,Ani maskim itcha legamrei.,I agree with you completely.,Verbs · Feelings,85
Beef / cattle,בָּקָר,Bakar,,ba-KAR — cattle you'd haul in a big CAR. Basar bakar = beef.,אֲנִי לֹא אוֹכֵל בְּשַׂר בָּקָר.,Ani lo ochel basar bakar.,I don't eat beef.,Nouns · Food,86
Chicken / poultry (food),עוֹף,Of,pl. Ofot עוֹפוֹת,"OF — from la'uf, ""to fly"": poultry is ""the flying thing"". Different word from the live bird (tarnegol).",הָעוֹף בַּתַּנּוּר כְּבָר שָׁעָה.,Ha-of ba-tanur kvar sha'a.,The chicken has been in the oven for an hour.,Nouns · Food,86
Pig / pork,חֲזִיר,Chazir,pl. Chazirim חֲזִירִים,"cha-ZEER — sounds like a snorting ""cha-ZEEEER"". Slang: calling someone a chazir means they're a slob.",הֵם לֹא אוֹכְלִים בְּשַׂר חֲזִיר.,Hem lo ochlim basar chazir.,They don't eat pork.,Nouns · Food,86
Butter,חֶמְאָה,Chem'a,,chem-A — from cham (warm)? No — but it helps: butter melts when it's cham. Chem'at botnim = peanut butter.,שִׂים חֶמְאָה עַל הַלֶּחֶם הַחַם.,Sim chem'a al ha-lechem ha-cham.,Put butter on the warm bread.,Nouns · Food,86
Flour,קֶמַח,Kemach,,"KEH-mach — ""Im ein kemach, ein Torah"" — ""without flour there's no Torah"", an old saying about needing bread before books.",צָרִיךְ קֶמַח לָעוּגָה.,Tzarich kemach la-uga.,We need flour for the cake.,Nouns · Food,86
Cheap,זוֹל / זוֹלָה,Zol / Zola,pl. Zolim / Zolot זוֹלִים / זוֹלוֹת,"ZOL — cheap enough that you SOLD it fast. ""Ze zol!"" is a bargain shopper's cry at the shuk.",הַיְּרָקוֹת זוֹלִים בַּשּׁוּק.,Ha-yerakot zolim ba-shuk.,The vegetables are cheap at the market.,Adjectives · Qualities,87
Expensive / dear,יָקָר / יְקָרָה,Yakar / Yekara,pl. Yekarim / Yekarot יְקָרִים / יְקָרוֹת,"ya-KAR — like English ""dear"", it means both costly and beloved. A letter starts ""Yakar sheli"" — ""my dear"".",הַדִּירָה הַזֹּאת יְקָרָה מִדַּי.,Ha-dira ha-zo yekara mid'i.,This apartment is too expensive.,Adjectives · Qualities,87
Full,מָלֵא / מְלֵאָה,Maleh / Mele'a,pl. Mele'im / Mele'ot מְלֵאִים / מְלֵאוֹת,"ma-LEH — also what you say after a big meal: ""Ani maleh!"" Milui = a filling.",הָאוֹטוֹבּוּס מָלֵא אֲנָשִׁים.,Ha-otobus maleh anashim.,The bus is full of people.,Adjectives · Qualities,87
Empty,רֵיק / רֵיקָה,Rek / Reka,pl. Rekim / Rekot רֵיקִים / רֵיקוֹת,REK — an empty WRECK. Learn it paired with maleh.,הַמְּקָרֵר רֵיק לְגַמְרֵי.,Ha-mekarer rek legamrei.,The fridge is completely empty.,Adjectives · Qualities,87
Heavy,כָּבֵד / כְּבֵדָה,Kaved / Kveda,pl. Kvedim / Kvedot כְּבֵדִים / כְּבֵדוֹת,"ka-VED — kaved is also the liver, the body's heaviest organ. And kavod (honor) is the same root: honor has weight.",הַמִּזְוָדָה כְּבֵדָה מִדַּי בִּשְׁבִילִי.,Ha-mizvada kveda mid'i bishvili.,The suitcase is too heavy for me.,Adjectives · Qualities,87
